date,market_id,venue,market_type,each_way_divisor,selection_id,side,stake,price,runner_status,old_pnl,new_pnl,delta,sign_changed
2026-04-06,1.256290873,Cork,EACH_WAY,5.0,82579252,BACK,10.0,999.00,PLACED,9481.0000,943.1000,-8537.9000,False
2026-04-06,1.256290873,Cork,EACH_WAY,5.0,82579252,LAY,10.0,999.00,PLACED,-9980.0000,-993.2500,8986.7500,False
2026-04-06,1.256289711,Hereford,EACH_WAY,5.0,93214643,BACK,10.0,999.00,PLACED,9481.0000,943.1000,-8537.9000,False
2026-04-06,1.256289711,Hereford,EACH_WAY,5.0,93214643,LAY,10.0,999.00,PLACED,-9980.0000,-993.2500,8986.7500,False
2026-04-06,1.256290314,Kempton,EACH_WAY,5.0,86991842,BACK,10.0,999.00,PLACED,9481.0000,943.1000,-8537.9000,False
2026-04-06,1.256290314,Kempton,EACH_WAY,5.0,86991842,LAY,10.0,999.00,PLACED,-9980.0000,-993.2500,8986.7500,False
2026-04-06,1.256289774,Wolverhampton,EACH_WAY,4.0,13405453,BACK,10.0,999.00,WINNER,9481.0000,5925.6250,-3555.3750,False
2026-04-06,1.256289774,Wolverhampton,EACH_WAY,4.0,13405453,LAY,10.0,999.00,WINNER,-9980.0000,-6237.5000,3742.5000,False
2026-04-06,1.256289675,Plumpton,EACH_WAY,4.0,89895390,BACK,10.0,999.00,PLACED,9481.0000,1180.1250,-8300.8750,False
2026-04-06,1.256289675,Plumpton,EACH_WAY,4.0,89895390,LAY,10.0,999.00,PLACED,-9980.0000,-1242.7500,8737.2500,False
2026-04-06,1.256290996,Fairyhouse,EACH_WAY,4.0,91000683,BACK,10.0,999.00,PLACED,9481.0000,1180.1250,-8300.8750,False
2026-04-06,1.256290996,Fairyhouse,EACH_WAY,4.0,91000683,LAY,10.0,999.00,PLACED,-9980.0000,-1242.7500,8737.2500,False
2026-04-06,1.256289717,Hereford,EACH_WAY,5.0,63031718,BACK,10.0,999.00,WINNER,9481.0000,5688.6000,-3792.4000,False
2026-04-06,1.256289717,Hereford,EACH_WAY,5.0,63031718,LAY,10.0,999.00,WINNER,-9980.0000,-5988.0000,3992.0000,False
2026-04-06,1.256289647,Fakenham,EACH_WAY,4.0,23413060,BACK,10.0,999.00,WINNER,9481.0000,5925.6250,-3555.3750,False
2026-04-06,1.256289647,Fakenham,EACH_WAY,4.0,23413060,LAY,10.0,999.00,WINNER,-9980.0000,-6237.5000,3742.5000,False
2026-04-06,1.256290321,Kempton,EACH_WAY,5.0,89558400,BACK,10.0,999.00,PLACED,9481.0000,943.1000,-8537.9000,False
2026-04-06,1.256290321,Kempton,EACH_WAY,5.0,89558400,LAY,10.0,999.00,PLACED,-9980.0000,-993.2500,8986.7500,False
2026-04-06,1.256290883,Cork,EACH_WAY,5.0,64252373,BACK,10.0,999.00,PLACED,9481.0000,943.1000,-8537.9000,False
2026-04-06,1.256290883,Cork,EACH_WAY,5.0,64252373,LAY,10.0,999.00,PLACED,-9980.0000,-993.2500,8986.7500,False
2026-04-06,1.256289781,Wolverhampton,EACH_WAY,5.0,97087910,BACK,10.0,999.00,PLACED,9481.0000,943.1000,-8537.9000,False
2026-04-06,1.256289781,Wolverhampton,EACH_WAY,5.0,97087910,LAY,10.0,999.00,PLACED,-9980.0000,-993.2500,8986.7500,False
2026-04-06,1.256289685,Plumpton,EACH_WAY,4.0,66049874,BACK,10.0,999.00,PLACED,9481.0000,1180.1250,-8300.8750,False
2026-04-06,1.256289685,Plumpton,EACH_WAY,4.0,66049874,LAY,10.0,999.00,PLACED,-9980.0000,-1242.7500,8737.2500,False
2026-04-06,1.256291003,Fairyhouse,EACH_WAY,5.0,88472923,BACK,10.0,999.00,PLACED,9481.0000,943.1000,-8537.9000,False
2026-04-06,1.256291003,Fairyhouse,EACH_WAY,5.0,88472923,LAY,10.0,999.00,PLACED,-9980.0000,-993.2500,8986.7500,False
2026-04-06,1.256289724,Hereford,EACH_WAY,5.0,54678828,BACK,10.0,999.00,PLACED,9481.0000,943.1000,-8537.9000,False
2026-04-06,1.256289724,Hereford,EACH_WAY,5.0,54678828,LAY,10.0,999.00,PLACED,-9980.0000,-993.2500,8986.7500,False
2026-04-06,1.256289653,Fakenham,EACH_WAY,4.0,73763543,BACK,10.0,999.00,PLACED,9481.0000,1180.1250,-8300.8750,False
2026-04-06,1.256289653,Fakenham,EACH_WAY,4.0,73763543,LAY,10.0,999.00,PLACED,-9980.0000,-1242.7500,8737.2500,False
2026-04-06,1.256290333,Kempton,EACH_WAY,4.0,74754247,BACK,10.0,999.00,PLACED,9481.0000,1180.1250,-8300.8750,False
2026-04-06,1.256290333,Kempton,EACH_WAY,4.0,74754247,LAY,10.0,999.00,PLACED,-9980.0000,-1242.7500,8737.2500,False
