cohort,selector,window,fc,n,mean_pnl_pd,mean_locked_pd,mean_naked_pd,mean_naked_std,n_profitable_agents,agent_ids
raceconf,score_d_daily_vol_penalty,oldwindow,120,5,-66.808675253958,56.8701912740098,-37.18017135974165,92.18432996931014,0,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,f096b9c3-7f22-433a-bf5b-dd55b556502f,be17ae1a-b90d-4c12-8136-a63fdc2ebb6d"
raceconf,score_d_daily_vol_penalty,newwindow,0,5,-18.538140673456404,24.206632325169316,-36.94853292490101,334.9402193734066,1,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,f096b9c3-7f22-433a-bf5b-dd55b556502f,be17ae1a-b90d-4c12-8136-a63fdc2ebb6d"
raceconf,score_d_daily_vol_penalty,newwindow,120,5,-24.842212033101653,27.209747335587434,-13.942107405960858,85.63113117857506,0,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,f096b9c3-7f22-433a-bf5b-dd55b556502f,be17ae1a-b90d-4c12-8136-a63fdc2ebb6d"
raceconf,score_e_combined_filter,oldwindow,0,5,-65.82243808030091,52.41893976883002,-106.83089510520264,416.3527784440339,0,"f5001118-0e54-4f6b-b043-bf7bec0f51bb,30017150-c468-43bb-9f07-d8cea97e5145,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,76eb3675-3d00-4941-90de-0904acde5a73,4cb5f7fb-37ab-4af5-a5b2-f2eb6a014c6a"
raceconf,score_e_combined_filter,oldwindow,120,5,-78.39750244970242,58.4655075980333,-40.20163280341081,82.97247569268197,0,"f5001118-0e54-4f6b-b043-bf7bec0f51bb,30017150-c468-43bb-9f07-d8cea97e5145,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,76eb3675-3d00-4941-90de-0904acde5a73,4cb5f7fb-37ab-4af5-a5b2-f2eb6a014c6a"
raceconf,score_e_combined_filter,newwindow,0,5,-18.460409226920074,24.153186860665603,-37.47854391201486,326.8610547403787,1,"f5001118-0e54-4f6b-b043-bf7bec0f51bb,30017150-c468-43bb-9f07-d8cea97e5145,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,76eb3675-3d00-4941-90de-0904acde5a73,4cb5f7fb-37ab-4af5-a5b2-f2eb6a014c6a"
raceconf,score_e_combined_filter,newwindow,120,5,-30.65791305599017,27.25972163875708,-16.503680371026686,108.66564769105817,0,"f5001118-0e54-4f6b-b043-bf7bec0f51bb,30017150-c468-43bb-9f07-d8cea97e5145,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,76eb3675-3d00-4941-90de-0904acde5a73,4cb5f7fb-37ab-4af5-a5b2-f2eb6a014c6a"
layq,score_a_pure_locked,oldwindow,0,5,-50.86473906102246,65.02710717741982,-100.21151532359825,280.1803175826296,0,"abdfa0f3-3acc-431e-9230-5b3850e8a708,2e92886c-f87e-40c3-b821-25a27f2eab5d,9b3a2b39-ab65-40a9-aeea-9ed52c317eae,d66d78ab-eb21-40bf-a554-c14fd75ca2f5,c8c92859-be8f-4fa0-8491-daae4f8e6709"
layq,score_a_pure_locked,oldwindow,120,5,-34.1739515934858,72.34695284595168,-13.215141906547547,110.79278840924385,1,"abdfa0f3-3acc-431e-9230-5b3850e8a708,2e92886c-f87e-40c3-b821-25a27f2eab5d,9b3a2b39-ab65-40a9-aeea-9ed52c317eae,d66d78ab-eb21-40bf-a554-c14fd75ca2f5,c8c92859-be8f-4fa0-8491-daae4f8e6709"
layq,score_a_pure_locked,newwindow,0,5,-11.021562898752116,29.543904997186512,-33.27166385584861,377.12818247093304,0,"abdfa0f3-3acc-431e-9230-5b3850e8a708,2e92886c-f87e-40c3-b821-25a27f2eab5d,9b3a2b39-ab65-40a9-aeea-9ed52c317eae,d66d78ab-eb21-40bf-a554-c14fd75ca2f5,c8c92859-be8f-4fa0-8491-daae4f8e6709"
