experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m
conv1d_k5_s1_baf481c5c57d,S03,2026-05-09T08:46:02.198742,conv1d,k5,"{""kernel"": 5, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,77321,59.8,4.93,registry\predictor\conv1d_k5_s1_baf481c5c57d.pt,baf481c5c57d,0.545474,0.91912,0.541613,1.83824,0.7608,0.0392,1.0,2.0,0.0,1.8829,1.0,0.3121,0.813017,1.467209,0.767908,2.934417,0.7446,0.0554,0.5357,1036.0,0.0067,978.4599,0.5357,0.5765,1.216128,2.25411,1.104697,4.50822,0.7456,0.0544,0.65,920.0,0.0118,1146.3905,0.65,0.6469,,,,,,,,,,,,,,,,,,
conv1d_k5_s2_1265155cb79f,S03,2026-05-09T08:46:55.985887,conv1d,k5,"{""kernel"": 5, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,77321,46.1,4.95,registry\predictor\conv1d_k5_s2_1265155cb79f.pt,1265155cb79f,0.547837,0.918469,0.545974,1.836939,0.7802,0.0198,,0.0,0.0,0.0,,0.3611,0.812842,1.451064,0.767966,2.902128,0.7477,0.0523,0.7128,94.0,0.0006,158.4421,0.7128,0.5488,1.237673,2.19822,1.100964,4.396439,0.7154,0.0846,0.6537,589.0,0.0076,981.4209,0.6537,0.5826,,,,,,,,,,,,,,,,,,
conv1d_k7_s0_3e64e637a037,S03,2026-05-09T08:47:34.531582,conv1d,k7,"{""kernel"": 7, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,106249,29.4,2.98,registry\predictor\conv1d_k7_s0_3e64e637a037.pt,3e64e637a037,0.563605,0.921848,0.554839,1.843697,0.7959,0.0041,,0.0,0.0,0.0,,0.7107,0.834757,1.456694,0.77517,2.913388,0.7571,0.0429,,0.0,0.0,0.0,,0.8248,1.268935,2.198473,1.099437,4.396947,0.7135,0.0865,0.9714,35.0,0.0004,95.9172,0.9714,0.8026,,,,,,,,,,,,,,,,,,
conv1d_k7_s1_d89177608d9d,S03,2026-05-09T08:48:47.402285,conv1d,k7,"{""kernel"": 7, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,106249,61.2,4.36,registry\predictor\conv1d_k7_s1_d89177608d9d.pt,d89177608d9d,0.543316,0.919799,0.542498,1.839599,0.7649,0.0351,1.0,1.0,0.0,0.6064,1.0,0.3523,0.813494,1.463524,0.769309,2.927047,0.7361,0.0639,0.6233,868.0,0.0057,547.8625,0.6233,0.6127,1.246109,2.232937,1.099512,4.465875,0.7289,0.0711,0.6879,1791.0,0.023,1303.1997,0.6879,0.7403,,,,,,,,,,,,,,,,,,
conv1d_k7_s2_a09d3c4941cd,S03,2026-05-09T08:49:52.596048,conv1d,k7,"{""kernel"": 7, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,106249,53.8,1.61,registry\predictor\conv1d_k7_s2_a09d3c4941cd.pt,a09d3c4941cd,0.548803,0.917886,0.548901,1.835773,0.7572,0.0428,,0.0,0.0,0.0,,0.2976,0.81876,1.453786,0.764581,2.907572,0.7464,0.0536,0.5029,340.0,0.0022,347.5698,0.5029,0.6401,1.209381,2.216524,1.093601,4.433048,0.7575,0.0425,0.6954,581.0,0.0075,959.472,0.6954,0.7282,,,,,,,,,,,,,,,,,,
gbm_t100d4_s0_05d5ab1549f1,S03,2026-05-09T08:50:02.772576,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,496,4.5,2.76,registry\predictor\gbm_t100d4_s0_05d5ab1549f1.joblib,05d5ab1549f1,0.540701,0.917114,0.540886,1.834228,0.7836,0.0164,,0.0,0.0,0.0,,1.0,0.806201,1.447736,0.759345,2.895473,0.7695,0.0305,,0.0,0.0,0.0,,0.9739,1.224182,2.192345,1.068616,4.38469,0.7461,0.0539,,0.0,0.0,0.0,,0.8739,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_dbe69e8f781d,S03,2026-05-09T08:50:12.519737,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,496,4.4,3.11,registry\predictor\gbm_t100d4_s1_dbe69e8f781d.joblib,dbe69e8f781d,0.540701,0.917114,0.540886,1.834228,0.7836,0.0164,,0.0,0.0,0.0,,1.0,0.806201,1.447736,0.759345,2.895473,0.7695,0.0305,,0.0,0.0,0.0,,0.9739,1.224182,2.192345,1.068616,4.38469,0.7461,0.0539,,0.0,0.0,0.0,,0.8739,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_7992f53568dc,S03,2026-05-09T08:50:20.767236,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,496,3.8,2.95,registry\predictor\gbm_t100d4_s2_7992f53568dc.joblib,7992f53568dc,0.540701,0.917114,0.540886,1.834228,0.7836,0.0164,,0.0,0.0,0.0,,1.0,0.806201,1.447736,0.759345,2.895473,0.7695,0.0305,,0.0,0.0,0.0,,0.9739,1.224182,2.192345,1.068616,4.38469,0.7461,0.0539,,0.0,0.0,0.0,,0.8739,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_ab7870b80db5,S03,2026-05-09T08:50:30.166289,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,832,5.5,4.79,registry\predictor\gbm_t300d5_s0_ab7870b80db5.joblib,ab7870b80db5,0.531876,0.917085,0.52842,1.834169,0.7734,0.0266,,0.0,0.0,0.0,,1.0,0.804077,1.447631,0.760379,2.895262,0.7667,0.0333,,0.0,0.0,0.0,,0.917,1.221485,2.194712,1.070426,4.389424,0.746,0.054,,0.0,0.0,0.0,,0.8817,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_83a68e2ed0f2,S03,2026-05-09T08:50:39.531748,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,832,5.5,4.64,registry\predictor\gbm_t300d5_s1_83a68e2ed0f2.joblib,83a68e2ed0f2,0.531876,0.917085,0.52842,1.834169,0.7734,0.0266,,0.0,0.0,0.0,,1.0,0.804077,1.447631,0.760379,2.895262,0.7667,0.0333,,0.0,0.0,0.0,,0.917,1.221485,2.194712,1.070426,4.389424,0.746,0.054,,0.0,0.0,0.0,,0.8817,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_7e8e8759493f,S03,2026-05-09T08:50:51.731763,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,832,7.2,4.65,registry\predictor\gbm_t300d5_s2_7e8e8759493f.joblib,7e8e8759493f,0.531876,0.917085,0.52842,1.834169,0.7734,0.0266,,0.0,0.0,0.0,,1.0,0.804077,1.447631,0.760379,2.895262,0.7667,0.0333,,0.0,0.0,0.0,,0.917,1.221485,2.194712,1.070426,4.389424,0.746,0.054,,0.0,0.0,0.0,,0.8817,,,,,,,,,,,,,,,,,,
gbm_t500d6_s0_014616cd3d11,S03,2026-05-09T08:51:05.848332,gbm,t500d6,"{""n_trees"": 500, ""max_depth"": 6, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,891,8.7,6.45,registry\predictor\gbm_t500d6_s0_014616cd3d11.joblib,014616cd3d11,0.531638,0.917185,0.517911,1.834371,0.761,0.039,,0.0,0.0,0.0,,1.0,0.807065,1.447499,0.761688,2.894998,0.7694,0.0306,,0.0,0.0,0.0,,1.0,1.22821,2.196373,1.069203,4.392746,0.7418,0.0582,,0.0,0.0,0.0,,0.8413,,,,,,,,,,,,,,,,,,
gbm_t500d6_s1_e065062b7462,S03,2026-05-09T08:51:18.636034,gbm,t500d6,"{""n_trees"": 500, ""max_depth"": 6, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,891,7.9,5.07,registry\predictor\gbm_t500d6_s1_e065062b7462.joblib,e065062b7462,0.531638,0.917185,0.517911,1.834371,0.761,0.039,,0.0,0.0,0.0,,1.0,0.807065,1.447499,0.761688,2.894998,0.7694,0.0306,,0.0,0.0,0.0,,1.0,1.22821,2.196373,1.069203,4.392746,0.7418,0.0582,,0.0,0.0,0.0,,0.8413,,,,,,,,,,,,,,,,,,
gbm_t500d6_s2_8bf021001b5a,S03,2026-05-09T08:51:31.734870,gbm,t500d6,"{""n_trees"": 500, ""max_depth"": 6, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,891,6.9,4.92,registry\predictor\gbm_t500d6_s2_8bf021001b5a.joblib,8bf021001b5a,0.531638,0.917185,0.517911,1.834371,0.761,0.039,,0.0,0.0,0.0,,1.0,0.807065,1.447499,0.761688,2.894998,0.7694,0.0306,,0.0,0.0,0.0,,1.0,1.22821,2.196373,1.069203,4.392746,0.7418,0.0582,,0.0,0.0,0.0,,0.8413,,,,,,,,,,,,,,,,,,
