experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m,pinball_1m_q30,pinball_1m_q70
conv1d_k3_s1_5b5ae24896dc,S04_neural,2026-05-09T12:21:21.896762,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,48393,70.3,3.69,registry\predictor\conv1d_k3_s1_5b5ae24896dc.pt,5b5ae24896dc,0.533946,0.917138,0.534454,1.834277,0.7872,0.0128,0.4167,48.0,0.0002,10.3275,0.4167,0.1376,0.797518,1.468872,0.754173,2.937744,0.7683,0.0317,0.6063,569.0,0.0037,692.7649,0.6063,0.4012,1.229354,2.214125,1.090781,4.428251,0.7164,0.0836,0.709,1553.0,0.0199,1430.858,0.709,0.5173,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_887f6fb255d3,S04_neural,2026-05-09T12:22:25.719462,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,48393,55.3,3.69,registry\predictor\conv1d_k3_s2_887f6fb255d3.pt,887f6fb255d3,0.544883,0.915796,0.540247,1.831593,0.7636,0.0364,,0.0,0.0,0.0,,0.0968,0.816635,1.44658,0.763406,2.893161,0.7514,0.0486,0.6992,492.0,0.0032,412.1458,0.6992,0.3889,1.221887,2.188416,1.087026,4.376832,0.7369,0.0631,0.756,545.0,0.007,1063.0171,0.756,0.4901,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s0_d6eabe2b26e8,S04_neural,2026-05-09T12:27:57.203383,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,49353,316.5,3.84,registry\predictor\conv1d_k3_s0_d6eabe2b26e8.pt,d6eabe2b26e8,0.518748,0.910563,0.505731,1.821127,0.7991,0.0009,0.6364,11.0,0.0001,15.6218,0.6364,0.1595,0.781185,1.419343,0.712435,2.838687,0.769,0.031,0.7262,504.0,0.0033,413.982,0.7262,0.3104,1.179151,2.124916,1.014744,4.249832,0.7649,0.0351,0.8914,221.0,0.0028,370.3793,0.8914,0.4018,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s1_8ff3642389a7,S04_neural,2026-05-09T12:30:55.749913,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,49353,162.8,3.76,registry\predictor\conv1d_k3_s1_8ff3642389a7.pt,8ff3642389a7,0.526492,0.914845,0.520902,1.829689,0.7938,0.0062,0.4286,7.0,0.0,13.4206,0.4286,0.1134,0.783022,1.431857,0.730291,2.863715,0.7742,0.0258,0.7075,106.0,0.0007,160.2209,0.7075,0.2565,1.172376,2.154538,1.035329,4.309076,0.7725,0.0275,0.8319,339.0,0.0044,396.3136,0.8319,0.3913,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_6a0cb40196cc,S04_neural,2026-05-09T12:34:42.535716,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,49353,211.0,3.76,registry\predictor\conv1d_k3_s2_6a0cb40196cc.pt,6a0cb40196cc,0.523455,0.914838,0.512164,1.829677,0.786,0.014,0.431,58.0,0.0003,44.7665,0.431,0.2609,0.783812,1.423767,0.717375,2.847534,0.7667,0.0333,0.7407,729.0,0.0047,631.2677,0.7407,0.3382,1.180351,2.132807,1.021421,4.265615,0.7504,0.0496,0.8656,588.0,0.0075,706.0682,0.8656,0.4303,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s0_78fe2e8b0663,S04_neural,2026-05-09T12:35:27.459250,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,49353,36.4,3.71,registry\predictor\conv1d_k3_s0_78fe2e8b0663.pt,78fe2e8b0663,0.547453,0.917626,0.548041,1.835252,0.7798,0.0202,,0.0,0.0,0.0,,0.1625,0.822684,1.442129,0.76332,2.884258,0.7561,0.0439,0.7292,144.0,0.0009,202.4583,0.7292,0.4062,1.234111,2.181826,1.080238,4.363652,0.7382,0.0618,0.9545,66.0,0.0008,144.1331,0.9545,0.5898,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s1_8fac17f7b5a3,S04_neural,2026-05-09T12:36:33.416600,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,49353,57.6,3.74,registry\predictor\conv1d_k3_s1_8fac17f7b5a3.pt,8fac17f7b5a3,0.542959,0.91667,0.542079,1.83334,0.768,0.032,,0.0,0.0,0.0,,0.2056,0.808546,1.44799,0.762097,2.89598,0.7516,0.0484,0.625,64.0,0.0004,131.7545,0.625,0.4859,1.222428,2.212796,1.087802,4.425593,0.7252,0.0748,0.6473,465.0,0.006,889.0727,0.6473,0.5695,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_2f94547e1631,S04_neural,2026-05-09T12:37:27.675417,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,49353,45.8,3.75,registry\predictor\conv1d_k3_s2_2f94547e1631.pt,2f94547e1631,0.552689,0.92098,0.54051,1.84196,0.7898,0.0102,,0.0,0.0,0.0,,0.2962,0.818291,1.460984,0.760477,2.921968,0.7727,0.0273,0.6157,268.0,0.0017,260.6158,0.6157,0.5834,1.231945,2.214578,1.081384,4.429155,0.7534,0.0466,0.7821,335.0,0.0043,348.9994,0.7821,0.6168,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s0_0db38d446d90,S04_neural,2026-05-09T12:40:26.626788,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,50121,163.3,3.78,registry\predictor\conv1d_k3_s0_0db38d446d90.pt,0db38d446d90,0.548577,0.918782,0.540146,1.837564,0.7695,0.0305,,0.0,0.0,0.0,,0.5443,0.807415,1.450245,0.756857,2.90049,0.7513,0.0487,1.0,9.0,0.0001,16.6702,1.0,0.7276,1.197851,2.183473,1.062175,4.366947,0.7489,0.0511,0.7882,425.0,0.0055,433.0131,0.7882,0.7896,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s1_50a2dc19124f,S04_neural,2026-05-09T12:45:01.025079,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,50121,258.5,3.78,registry\predictor\conv1d_k3_s1_50a2dc19124f.pt,50a2dc19124f,0.542016,0.916242,0.529511,1.832484,0.8028,0.0028,,0.0,0.0,0.0,,0.7196,0.798659,1.433537,0.739622,2.867074,0.7856,0.0144,0.5955,440.0,0.0029,381.3309,0.5955,0.5664,1.198713,2.163104,1.057084,4.326207,0.7597,0.0403,0.8675,619.0,0.0079,654.1202,0.8675,0.5905,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_d1427b0b4516,S04_neural,2026-05-09T12:47:38.577237,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,50121,141.7,3.79,registry\predictor\conv1d_k3_s2_d1427b0b4516.pt,d1427b0b4516,0.56046,0.918208,0.555912,1.836416,0.7752,0.0248,,0.0,0.0,0.0,,0.6595,0.818265,1.448477,0.773399,2.896955,0.7531,0.0469,0.6667,39.0,0.0003,130.7531,0.6667,0.5906,1.196462,2.174961,1.068318,4.349922,0.7572,0.0428,0.8739,230.0,0.003,388.3926,0.8739,0.6421,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s0_b035e7f93cf4,S04_neural,2026-05-09T12:48:23.814822,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,50121,36.5,3.77,registry\predictor\conv1d_k3_s0_b035e7f93cf4.pt,b035e7f93cf4,0.565802,0.918611,0.554889,1.837222,0.7591,0.0409,,0.0,0.0,0.0,,0.7453,0.838064,1.449945,0.781068,2.89989,0.7362,0.0638,0.7778,45.0,0.0003,80.4848,0.7778,0.7639,1.240895,2.199573,1.101449,4.399146,0.7218,0.0782,0.9122,148.0,0.0019,215.5181,0.9122,0.7677,,,,,,,,,,,,,,,,,,,,
