timestamp,available_mb,commit_gb,py_count,py_ws_gb,py_priv_gb
21:51:39,118764,24.9,0,0,0
21:51:44,118716,26.2,1,0.5,1.3
21:51:49,118019,26.5,1,0.7,1.5
21:51:54,118015,26.5,1,0.7,1.5
21:51:59,117696,27.5,13,1.6,2.6
21:52:04,114034,35.7,13,6.8,10.8
21:52:09,111670,38.8,13,9.7,13.9
21:52:14,111131,39,13,10,14.1
21:52:19,111046,39.1,13,10,14.1
21:52:24,110943,39.2,13,10.1,14.3
21:52:29,107365,44.8,13,14.4,19.7
21:52:34,105143,45.1,13,16,20.1
21:52:39,104484,46.9,13,16.5,21.8
21:52:44,104408,46.7,13,16.9,21.9
21:52:49,104123,46.8,13,17.3,22
21:52:54,103919,46.8,13,17.7,22
21:52:59,103620,46.9,13,18.1,22.1
21:53:04,103396,47,13,18.4,22.2
21:53:09,103114,47.1,13,18.8,22.3
21:53:14,102882,47.1,13,19.2,22.4
21:53:19,102673,47.3,13,19.4,22.5
21:53:24,102300,47.9,13,20.1,23.1
21:53:29,101690,48.5,13,20.5,23.7
21:53:34,101219,49.2,13,21.1,24.4
21:53:39,100890,49.5,13,21.4,24.7
21:53:44,100495,50,13,22,25.2
21:53:49,99695,50.7,13,22.6,25.9
21:53:54,99358,51.3,13,23.2,26.5
21:54:00,98921,51.6,13,23.6,26.8
21:54:05,98562,51.9,13,24.1,27.1
21:54:10,98224,52.2,13,24.5,27.4
21:54:15,97844,52.5,13,24.9,27.7
21:54:20,97722,52.4,13,25.1,27.7
21:54:25,97357,52.8,13,25.6,28.1
21:54:30,97067,53.2,13,25.9,28.4
21:54:35,96482,53.7,13,26.5,28.9
21:54:40,96508,53.6,13,26.6,28.8
21:54:45,96366,53.7,13,26.9,28.9
21:54:50,96240,53.6,13,27,28.8
21:54:55,96047,53.8,13,27.4,29
21:55:00,95900,53.9,13,27.5,29.1
21:55:05,95819,54.2,13,27.7,29.3
21:55:10,95378,54.5,13,28.1,29.8
21:55:15,95591,54.3,13,27.9,29.6
21:55:20,95471,54.5,13,28,29.7
21:55:25,95375,54.6,13,28.2,29.8
21:55:30,95263,55.1,13,28.4,30.3
21:55:35,95087,55.1,13,28.4,30.3
21:55:40,95063,55.2,13,28.6,30.3
21:55:45,94934,55.2,13,28.9,30.3
21:55:50,94761,55.2,13,29,30.3
21:55:55,94623,55.2,13,29.2,30.3
21:56:00,94446,55.4,13,29.6,30.4
21:56:05,94325,55.5,13,29.8,30.6
21:56:10,94253,55.5,13,29.9,30.6
21:56:15,94254,55.5,13,30.1,30.7
21:56:20,94309,55.5,13,30.1,30.7
21:56:25,94514,55.4,13,29.9,30.7
21:56:30,94501,55.5,13,30,30.8
21:56:36,94517,55.4,13,30.1,30.7
21:56:41,94410,55.6,13,30.3,30.8
21:56:46,94425,55.5,13,30.3,30.8
21:56:51,94288,55.6,13,30.6,30.9
21:56:56,94230,55.5,13,30.7,30.8
21:57:01,94066,55.8,13,31,31.1
21:57:06,94219,55.5,13,30.9,30.8
21:57:11,94174,55.6,13,31,30.9
21:57:16,94164,55.7,13,31.1,31
21:57:21,94124,55.6,13,31,30.9
21:57:26,94100,55.6,13,31.2,30.9
21:57:31,93990,55.7,13,31.4,31
21:57:36,93936,55.8,13,31.5,31.1
21:57:41,94097,55.7,13,31.4,31
21:57:46,94066,55.7,13,31.5,31
21:57:51,93861,55.8,13,31.7,31.1
21:57:56,93822,55.9,13,31.9,31.2
21:58:01,93841,55.8,13,32,31.1
21:58:06,93740,55.8,13,32.2,31.1
21:58:11,93695,55.9,13,32.3,31.1
21:58:16,93737,55.8,13,32.3,31.1
21:58:21,93720,55.8,13,32.3,31.1
21:58:26,93660,55.8,13,32.5,31.1
21:58:31,93540,55.8,13,32.6,31.1
21:58:36,93536,56,13,32.7,31.2
21:58:41,93662,56,13,32.7,31.3
21:58:46,93613,56.1,13,32.8,31.3
21:58:52,93605,56,13,32.9,31.3
21:58:57,93475,56.2,13,33.1,31.5
21:59:02,93400,56.3,13,33.1,31.5
21:59:07,93460,56.1,13,33.1,31.3
21:59:12,93463,56.1,13,33.3,31.4
21:59:17,93471,56.1,13,33.4,31.4
21:59:22,93728,55.7,13,33.2,31
21:59:27,93611,55.7,13,32.9,30.7
21:59:32,118782,24.9,0,0,0
21:59:37,118818,24.8,0,0,0
21:59:42,118796,24.8,0,0,0
