# CACHED full-agent profile
# day=2026-04-10 device=cpu lean=True
# wall=62.237 n_steps=11853 n_updates=744

=== cumulative (top 40) ===
         47244822 function calls (46676056 primitive calls) in 62.026 seconds

   Ordered by: cumulative time
   List reduced from 584 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   201596    2.903    0.000    8.403    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:296(_extract_into)
    11779    2.790    0.000    3.320    0.000 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\lightgbm\basic.py:1286(__inner_predict_np2d)
  1011830    1.936    0.000    3.132    0.000 {built-in method builtins.sum}
    12597    1.715    0.000   14.272    0.001 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\discrete_policy.py:946(_forward_core)
   687823    1.298    0.000    1.298    0.000 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\numpy\_core\_methods.py:96(_clip)
        1    1.083    1.083   49.789   49.789 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\rollout.py:271(_collect)
   652690    0.905    0.000    2.795    0.000 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:38(_wrapit)
    11853    0.849    0.000    3.672    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2603(_get_position_vector)
    11853    0.836    0.000    0.836    0.000 {built-in method torch.multinomial}
    11853    0.783    0.000   16.246    0.001 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:334(compute_extended_obs)
    11853    0.723    0.000    2.076    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:195(update_history)
    37791    0.716    0.000    0.716    0.000 {built-in method torch.cat}
     9892    0.697    0.000    2.426    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:3696(_process_action)
    12597    0.692    0.000    0.692    0.000 {method 'logsumexp' of 'torch._C.TensorBase' objects}
      744    0.687    0.001    0.687    0.001 {built-in method torch._foreach_norm}
    17112    0.674    0.000    0.674    0.000 {method 'addcmul_' of 'torch._C.TensorBase' objects}
   687823    0.651    0.000    3.713    0.000 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:48(_wrapfunc)
   403192    0.638    0.000    0.948    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:522(_delta_window)
   687823    0.604    0.000    4.317    0.000 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2207(clip)
277134/12597    0.591    0.000   15.633    0.001 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\nn\modules\module.py:1783(_call_impl)
   124482    0.492    0.000    0.492    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
277134/12597    0.460    0.000   15.681    0.001 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\nn\modules\module.py:1775(_wrapped_call_impl)
      744    0.450    0.001    2.111    0.003 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\optim\adam.py:347(_single_tensor_adam)
   328457    0.445    0.000    1.000    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:419(_best_back)
   181722    0.425    0.000    1.022    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:456(_spread_in_ticks)
